P187S6cM4_X	P187S6cM4_Y
0.348	0.028034999999999997
0.349	0.028047
0.35	0.028059999999999998
0.351	0.028071
0.352	0.028086
0.353	0.028099
0.354	0.02811
0.355	0.028123
0.356	0.028133
0.357	0.028149
0.358	0.028158
0.359	0.028169999999999997
0.36	0.028184999999999998
0.361	0.028194999999999998
0.362	0.028208999999999998
0.363	0.02822
0.364	0.028232
0.365	0.028244
0.366	0.028256
0.367	0.028267999999999998
0.368	0.028280999999999997
0.369	0.028291999999999998
0.37	0.028305
0.371	0.028315999999999997
0.372	0.028326999999999998
0.373	0.028336
0.374	0.028350999999999998
0.375	0.028360999999999997
0.376	0.028371
0.377	0.028383
0.378	0.028394
0.379	0.028405
0.38	0.028418
0.381	0.028429
0.382	0.028439
0.383	0.028450999999999997
0.384	0.028461999999999998
0.385	0.028471999999999997
0.386	0.028484
0.38699999999999996	0.028495
0.38799999999999996	0.028506
0.38899999999999996	0.028515
0.38999999999999996	0.028526
0.39099999999999996	0.028537999999999997
0.39199999999999996	0.02855
0.39299999999999996	0.02856
0.39399999999999996	0.028569999999999998
0.39499999999999996	0.028582
0.39599999999999996	0.028593
0.39699999999999996	0.028602
0.39799999999999996	0.028613999999999997
0.39899999999999997	0.028624
0.39999999999999997	0.028631999999999998
0.40099999999999997	0.028644
0.40199999999999997	0.028654
0.40299999999999997	0.028662999999999998
0.40399999999999997	0.028673999999999998
0.40499999999999997	0.028683999999999998
0.40599999999999997	0.028693999999999997
0.407	0.028706
0.408	0.028714999999999997
0.409	0.028724
0.41	0.028734
0.411	0.028744
0.412	0.028752999999999997
0.413	0.028763999999999998
0.414	0.028773999999999997
0.415	0.028783
0.416	0.028794999999999998
0.417	0.028804
0.418	0.028813
0.419	0.028822
0.42	0.028835
0.421	0.028842
0.422	0.028852
0.423	0.028860999999999998
0.424	0.028872
0.425	0.02888
0.426	0.028891
0.427	0.028898999999999998
0.428	0.028908999999999997
0.429	0.028916999999999998
0.43	0.028925
0.431	0.028936999999999997
0.432	0.028946
0.433	0.028953999999999997
0.434	0.028964
0.435	0.028971999999999998
0.436	0.028981
0.437	0.028991
0.438	0.028999999999999998
0.439	0.029009999999999998
0.44	0.029018
0.441	0.029026999999999997
0.442	0.029036
0.443	0.029044
0.444	0.029051999999999998
0.445	0.02906
0.446	0.029068
0.44699999999999995	0.029078
0.44799999999999995	0.029089
0.44899999999999995	0.029096
0.44999999999999996	0.029105
0.45099999999999996	0.029113999999999998
0.45199999999999996	0.029123
0.45299999999999996	0.029130999999999997
0.45399999999999996	0.02914
0.45499999999999996	0.029148999999999998
0.45599999999999996	0.029158
0.45699999999999996	0.029165999999999997
0.45799999999999996	0.029172999999999998
0.45899999999999996	0.029181
0.45999999999999996	0.029189
0.46099999999999997	0.029199
0.46199999999999997	0.029205
0.46299999999999997	0.029216
0.46399999999999997	0.029223
0.46499999999999997	0.029231
0.46599999999999997	0.02924
0.46699999999999997	0.029248999999999997
0.46799999999999997	0.029255999999999997
0.469	0.029265
0.47	0.029273
0.471	0.029279999999999997
0.472	0.029286
0.473	0.029294999999999998
0.474	0.029304
0.475	0.02931
0.476	0.02932
0.477	0.029327
0.478	0.029335
0.479	0.029342999999999998
0.48	0.029352
0.481	0.029358
0.482	0.029366
0.483	0.029373
0.484	0.029380999999999997
0.485	0.029389
0.486	0.029397
0.487	0.029404
0.488	0.029412999999999998
0.489	0.029421
0.49	0.029428
0.491	0.029436999999999998
0.492	0.029443999999999998
0.493	0.029450999999999998
0.494	0.029456999999999997
0.495	0.029466
0.496	0.029473
0.497	0.02948
0.498	0.029484999999999997
0.499	0.029495
0.5	0.029501999999999997
0.501	0.029508999999999997
0.502	0.029515999999999997
0.503	0.029522999999999997
0.504	0.029532
0.505	0.029538
0.506	0.029545
0.507	0.029550999999999997
0.508	0.029559
