Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
P187cM3-L001_postfilterflagstat	326137	0	0	0	0	0	0	0	326137	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	326137
P187cM3-S499-L001_flagstat	863725	0	0	0	0	0	0	0	335181	0	38.81	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	863725
P187cM3-S499-L001_postfilterflagstat	321797	0	0	0	0	0	0	0	321797	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	321797
P187cM3-S499-L002_flagstat	859374	0	0	0	0	0	0	0	333225	0	38.78	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	859374
P187cM3-S499-L002_postfilterflagstat	320062	0	0	0	0	0	0	0	320062	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	320062
P187cM3-S68-L001_flagstat	3127994	0	0	0	0	0	0	0	1122502	0	35.89	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3127994
P187cM3-S68-L001_postfilterflagstat	1070497	0	0	0	0	0	0	0	1070497	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1070497
P187cM3-S68-L002_flagstat	3138263	0	0	0	0	0	0	0	1126636	0	35.9	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3138263
P187cM3-S68-L002_postfilterflagstat	1074642	0	0	0	0	0	0	0	1074642	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1074642
P212M2-S271-L001_flagstat	1778185	0	0	0	0	0	0	0	1316196	0	74.02	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1778185
P212M2-S271-L001_postfilterflagstat	1267789	0	0	0	0	0	0	0	1267789	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1267789
P212M2-S271-L002_flagstat	1810973	0	0	0	0	0	0	0	1340841	0	74.04	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1810973
P212M2-S271-L002_postfilterflagstat	1292037	0	0	0	0	0	0	0	1292037	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1292037
P212S6aM4-S76-L001_flagstat	1468105	0	0	0	0	0	0	0	1028090	0	70.03	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1468105
P212S6aM4-S76-L001_postfilterflagstat	989982	0	0	0	0	0	0	0	989982	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	989982
P212S6aM4-S76-L002_flagstat	1473506	0	0	0	0	0	0	0	1030521	0	69.94	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1473506
P212S6aM4-S76-L002_postfilterflagstat	992299	0	0	0	0	0	0	0	992299	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	992299
P212S6aM5-S115-L001_flagstat	258658	0	0	0	0	0	0	0	10917	0	4.22	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	258658
P212S6aM5-S115-L001_postfilterflagstat	10431	0	0	0	0	0	0	0	10431	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	10431
P212S6aM5-S115-L002_flagstat	265724	0	0	0	0	0	0	0	11060	0	4.16	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	265724
P212S6aM5-S115-L002_postfilterflagstat	10564	0	0	0	0	0	0	0	10564	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	10564
P212S6bM4-S77-L001_flagstat	2797144	0	0	0	0	0	0	0	2009198	0	71.83	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2797144
P212S6bM4-S77-L001_postfilterflagstat	1938693	0	0	0	0	0	0	0	1938693	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1938693
P212S6bM4-S77-L002_flagstat	2811859	0	0	0	0	0	0	0	2021181	0	71.88	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2811859
P212S6bM4-S77-L002_postfilterflagstat	1950165	0	0	0	0	0	0	0	1950165	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1950165
P212S6bM5-S116-L001_flagstat	308313	0	0	0	0	0	0	0	48937	0	15.87	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	308313
P212S6bM5-S116-L001_postfilterflagstat	46623	0	0	0	0	0	0	0	46623	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	46623
P212S6bM5-S116-L002_flagstat	316498	0	0	0	0	0	0	0	50274	0	15.88	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	316498
P212S6bM5-S116-L002_postfilterflagstat	47969	0	0	0	0	0	0	0	47969	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	47969
P212S6cM4-S78-L001_flagstat	2722224	0	0	0	0	0	0	0	1916990	0	70.42	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2722224
P212S6cM4-S78-L001_postfilterflagstat	1838002	0	0	0	0	0	0	0	1838002	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1838002
P212S6cM4-S78-L002_flagstat	2741720	0	0	0	0	0	0	0	1933222	0	70.51	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2741720
P212S6cM4-S78-L002_postfilterflagstat	1854375	0	0	0	0	0	0	0	1854375	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1854375
P212S6cM5-S117-L001_flagstat	460118	0	0	0	0	0	0	0	15695	0	3.41	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	460118
P212S6cM5-S117-L001_postfilterflagstat	14934	0	0	0	0	0	0	0	14934	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	14934
P212S6cM5-S117-L002_flagstat	472427	0	0	0	0	0	0	0	15683	0	3.32	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	472427
P212S6cM5-S117-L002_postfilterflagstat	14963	0	0	0	0	0	0	0	14963	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	14963
P212S6dM4-S79-L001_flagstat	3766223	0	0	0	0	0	0	0	2573645	0	68.33	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3766223
P212S6dM4-S79-L001_postfilterflagstat	2473232	0	0	0	0	0	0	0	2473232	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2473232
P212S6dM4-S79-L002_flagstat	3786697	0	0	0	0	0	0	0	2590582	0	68.41	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3786697
P212S6dM4-S79-L002_postfilterflagstat	2489747	0	0	0	0	0	0	0	2489747	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2489747
P212S6eM4-S80-L001_flagstat	3271784	0	0	0	0	0	0	0	2255722	0	68.94	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3271784
P212S6eM4-S80-L001_postfilterflagstat	2159055	0	0	0	0	0	0	0	2159055	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2159055
P212S6eM4-S80-L002_flagstat	3353631	0	0	0	0	0	0	0	2313764	0	68.99	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3353631
P212S6eM4-S80-L002_postfilterflagstat	2215030	0	0	0	0	0	0	0	2215030	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2215030
P212aM3-S500-L001_flagstat	1203199	0	0	0	0	0	0	0	831367	0	69.1	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1203199
P212aM3-S500-L001_postfilterflagstat	804857	0	0	0	0	0	0	0	804857	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	804857
P212aM3-S500-L002_flagstat	1202191	0	0	0	0	0	0	0	830094	0	69.05	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1202191
P212aM3-S500-L002_postfilterflagstat	804046	0	0	0	0	0	0	0	804046	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	804046
P212aM3-S74-L001_flagstat	783	0	0	0	0	0	0	0	250	0	31.93	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	783
P212aM3-S74-L001_postfilterflagstat	241	0	0	0	0	0	0	0	241	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	241
P212aM3-S74-L002_flagstat	848	0	0	0	0	0	0	0	309	0	36.44	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	848
P212aM3-S74-L002_postfilterflagstat	298	0	0	0	0	0	0	0	298	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	298
P212bM3-S501-L001_flagstat	1219086	0	0	0	0	0	0	0	766667	0	62.89	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1219086
P212bM3-S501-L001_postfilterflagstat	737767	0	0	0	0	0	0	0	737767	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	737767
P212bM3-S501-L002_flagstat	1216147	0	0	0	0	0	0	0	765921	0	62.98	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1216147
P212bM3-S501-L002_postfilterflagstat	736977	0	0	0	0	0	0	0	736977	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	736977
