Perfect_X	Perfect_Y	D62_X	D62_Y	D72_X	D72_Y	P187_X	P187_Y	P212_X	P212_Y	P387_X	P387_Y
		0.155	0.099192	0.155	0.113455	0.155	0.021493	0.155	0.022613	0.155	0.030056
		0.156	0.099627	0.156	0.113999	0.156	0.021525	0.156	0.022665	0.156	0.030124
		0.157	0.100063	0.157	0.114546	0.157	0.021559	0.157	0.022714	0.157	0.030187
		0.158	0.10049	0.158	0.115089	0.158	0.021592	0.158	0.022764	0.158	0.03025
		0.159	0.100912	0.159	0.115631	0.159	0.021623	0.159	0.022814	0.159	0.030316
		0.16	0.10134	0.16	0.116168	0.16	0.021654	0.16	0.022863	0.16	0.030382
		0.161	0.101764	0.161	0.116706	0.161	0.021684	0.161	0.022909	0.161	0.030447
		0.162	0.102182	0.162	0.117246	0.162	0.021718	0.162	0.022961	0.162	0.03051
		0.163	0.102602	0.163	0.117781	0.163	0.021748	0.163	0.023011	0.163	0.030574
		0.164	0.103027	0.164	0.118315	0.164	0.021779	0.164	0.023058	0.164	0.030635
		0.165	0.103439	0.165	0.118847	0.165	0.021806	0.165	0.023107	0.165	0.030698
		0.166	0.103855	0.166	0.119376	0.166	0.021838	0.166	0.023152	0.166	0.030761
		0.167	0.104265	0.167	0.119905	0.167	0.021869	0.167	0.023199	0.167	0.03082
		0.168	0.104684	0.168	0.120436	0.168	0.021899	0.168	0.023249	0.168	0.030882
		0.169	0.105094	0.169	0.12096	0.169	0.021931	0.169	0.023295	0.169	0.030944
		0.17	0.105505	0.17	0.121486	0.17	0.021958	0.17	0.023338	0.17	0.031002
		0.171	0.105908	0.171	0.12201	0.171	0.021987	0.171	0.023387	0.171	0.031064
		0.172	0.106318	0.172	0.12253	0.172	0.022018	0.172	0.023429	0.172	0.031119
		0.173	0.10672	0.173	0.12305	0.173	0.022048	0.173	0.023478	0.173	0.031179
		0.174	0.107129	0.174	0.123568	0.174	0.022071	0.174	0.023523	0.174	0.031237
		0.175	0.107533	0.175	0.124082	0.175	0.022103	0.175	0.023567	0.175	0.031296
		0.176	0.107932	0.176	0.1246	0.176	0.02213	0.176	0.023615	0.176	0.031352
		0.177	0.108331	0.177	0.125113	0.177	0.022159	0.177	0.023657	0.177	0.031412
		0.178	0.108729	0.178	0.125622	0.178	0.022183	0.178	0.023702	0.178	0.031469
		0.179	0.109129	0.179	0.126136	0.179	0.022212	0.179	0.023747	0.179	0.031525
		0.18	0.10952	0.18	0.126643	0.18	0.022241	0.18	0.023791	0.18	0.031581
		0.181	0.109912	0.181	0.127151	0.181	0.022266	0.181	0.023835	0.181	0.031637
		0.182	0.110307	0.182	0.127661	0.182	0.022296	0.182	0.023875	0.182	0.031692
		0.183	0.110699	0.183	0.128165	0.183	0.02232	0.183	0.023917	0.183	0.03175
		0.184	0.111088	0.184	0.128669	0.184	0.022344	0.184	0.023962	0.184	0.031806
		0.185	0.111477	0.185	0.129168	0.185	0.02237	0.185	0.024006	0.185	0.031856
		0.186	0.111866	0.186	0.129668	0.186	0.022399	0.186	0.024048	0.186	0.031909
		0.187	0.112249	0.187	0.130167	0.187	0.022425	0.187	0.02409	0.187	0.031964
		0.188	0.112636	0.188	0.130666	0.188	0.022448	0.188	0.024134	0.188	0.032017
		0.189	0.113017	0.189	0.131163	0.189	0.022475	0.189	0.024174	0.189	0.03207
		0.19	0.113397	0.19	0.131656	0.19	0.022499	0.19	0.024213	0.19	0.032122
		0.191	0.113776	0.191	0.13215	0.191	0.022523	0.191	0.024257	0.191	0.032175
		0.192	0.114157	0.192	0.132643	0.192	0.02255	0.192	0.024298	0.192	0.032227
		0.193	0.114533	0.193	0.133135	0.193	0.022571	0.193	0.024337	0.193	0.032278
		0.194	0.114913	0.194	0.133623	0.194	0.022596	0.194	0.024377	0.194	0.032331
		0.195	0.115288	0.195	0.134109	0.195	0.022619	0.195	0.02442	0.195	0.032382
		0.196	0.115663	0.196	0.134596	0.196	0.022645	0.196	0.024459	0.196	0.032435
		0.197	0.116033	0.197	0.135082	0.197	0.022669	0.197	0.0245	0.197	0.032485
