Perfect_X	Perfect_Y	D24_X	D24_Y	D25_X	D25_Y	R21_X	R21_Y	R44_X	R44_Y	P246_X	P246_Y	P384_X	P384_Y
		0.221	0.088301			0.221	0.121019					0.221	0.013053
		0.222	0.088464			0.222	0.121316					0.222	0.013063
		0.223	0.088624			0.223	0.121612					0.223	0.013071
		0.224	0.088783			0.224	0.121905					0.224	0.013079
		0.225	0.088944			0.225	0.122198					0.225	0.013087
		0.226	0.089101			0.226	0.122489					0.226	0.013096
		0.227	0.089261			0.227	0.122779					0.227	0.013104
		0.228	0.089418			0.228	0.123068					0.228	0.013113
		0.229	0.089576			0.229	0.123356					0.229	0.01312
		0.23	0.08973			0.23	0.123643					0.23	0.013128
		0.231	0.089884			0.231	0.123928					0.231	0.013136
		0.232	0.090038			0.232	0.124211					0.232	0.013145
		0.233	0.090191			0.233	0.124494					0.233	0.013154
		0.234	0.090344			0.234	0.124775					0.234	0.01316
		0.235	0.090495			0.235	0.125055					0.235	0.013168
		0.236	0.090645			0.236	0.125334					0.236	0.013177
		0.237	0.090797			0.237	0.125613					0.237	0.013184
		0.238	0.090946			0.238	0.12589					0.238	0.013192
		0.239	0.091095			0.239	0.126166					0.239	0.0132
		0.24	0.091242			0.24	0.126439					0.24	0.013207
		0.241	0.091388			0.241	0.126713					0.241	0.013214
		0.242	0.091535			0.242	0.126986					0.242	0.013222
		0.243	0.091679			0.243	0.127256					0.243	0.01323
		0.244	0.091824			0.244	0.127525					0.244	0.013237
		0.245	0.091968			0.245	0.127794					0.245	0.013244
		0.246	0.092111			0.246	0.128062					0.246	0.013251
		0.247	0.092254			0.247	0.128328					0.247	0.013258
		0.248	0.092395			0.248	0.128593					0.248	0.013265
		0.249	0.092537			0.249	0.128859					0.249	0.013273
		0.25	0.092679			0.25	0.129121					0.25	0.013281
		0.251	0.092818			0.251	0.129383					0.251	0.013287
		0.252	0.092956			0.252	0.129644					0.252	0.013294
		0.253	0.093094			0.253	0.129905					0.253	0.013301
		0.254	0.093232			0.254	0.130163					0.254	0.013308
		0.255	0.093371			0.255	0.130421					0.255	0.013315
		0.256	0.093507			0.256	0.130678					0.256	0.013323
		0.257	0.093642			0.257	0.130933					0.257	0.013329
		0.258	0.093777			0.258	0.131188					0.258	0.013336
		0.259	0.093912			0.259	0.131441					0.259	0.013342
		0.26	0.094045			0.26	0.131693					0.26	0.013349
		0.261	0.094178			0.261	0.131945					0.261	0.013356
		0.262	0.094311			0.262	0.132196					0.262	0.013362
		0.263	0.094441			0.263	0.132445					0.263	0.013368
		0.264	0.094574			0.264	0.132693					0.264	0.013375
		0.265	0.094704			0.265	0.132941					0.265	0.013382
		0.266	0.094835			0.266	0.133187					0.266	0.013388
		0.267	0.094964			0.267	0.133432					0.267	0.013395
		0.268	0.095093			0.268	0.133676					0.268	0.0134
		0.269	0.095219			0.269	0.13392					0.269	0.013407
		0.27	0.095347			0.27	0.134162					0.27	0.013413
		0.271	0.095474			0.271	0.134404					0.271	0.01342
		0.272	0.0956			0.272	0.134644					0.272	0.013426
		0.273	0.095726			0.273	0.134883					0.273	0.013432
		0.274	0.095851			0.274	0.135122					0.274	0.013438
		0.275	0.095977			0.275	0.13536					0.275	0.013444
		0.276	0.096101			0.276	0.135596					0.276	0.013451
		0.277	0.096225			0.277	0.135832					0.277	0.013457
		0.278	0.096347			0.278	0.136066					0.278	0.013463
		0.279	0.09647			0.279	0.136299					0.279	0.013468
		0.28	0.096592			0.28	0.136533					0.28	0.013474
		0.281	0.096712			0.281	0.136765					0.281	0.01348
		0.282	0.096834			0.282	0.136995					0.282	0.013486
		0.283	0.096954			0.283	0.137225					0.283	0.013492
		0.284	0.097074			0.284	0.137454
		0.285	0.097193			0.285	0.137683
		0.286	0.097311			0.286	0.13791
		0.287	0.097429			0.287	0.138136
		0.288	0.097546			0.288	0.138362
		0.289	0.097663			0.289	0.138587
		0.29	0.097779			0.29	0.138809
		0.291	0.097895
		0.292	0.098012
		0.293	0.098126
		0.294	0.098241
		0.295	0.098355
		0.296	0.098468
		0.297	0.098579
		0.298	0.098692
		0.299	0.098805
		0.3	0.098916
		0.301	0.099026
		0.302	0.099137
		0.303	0.099247
		0.304	0.099357
		0.305	0.099467
		0.306	0.099575
		0.307	0.099683
		0.308	0.099791
		0.309	0.099897
		0.31	0.100005
		0.311	0.100111
		0.312	0.100218
		0.313	0.100322
		0.314	0.100429
		0.315	0.100532
		0.316	0.100636
		0.317	0.10074
		0.318	0.100844
		0.319	0.100947
		0.32	0.101048
		0.321	0.10115
		0.322	0.101252
		0.323	0.101355
		0.324	0.101455
		0.325	0.101554
		0.326	0.101655
		0.327	0.101755
		0.328	0.101853
		0.329	0.101952
		0.33	0.102051
		0.331	0.102149
		0.332	0.102246
		0.333	0.102345
		0.334	0.102441
		0.335	0.102537
		0.336	0.102634
		0.337	0.102728
		0.338	0.102825
		0.339	0.10292
		0.34	0.103014
		0.341	0.103109
		0.342	0.103202
		0.343	0.103295
		0.344	0.103389
		0.345	0.103481
		0.346	0.103574
		0.347	0.103666
		0.348	0.103758
		0.349	0.10385
		0.35	0.10394
		0.351	0.104031
		0.352	0.104121
		0.353	0.104211
		0.354	0.104301
		0.355	0.10439
		0.356	0.104479
		0.357	0.104568
		0.358	0.104656
		0.359	0.104744
		0.36	0.104833
		0.361	0.104919
		0.362	0.105007
		0.363	0.105093
		0.364	0.10518
		0.365	0.105266
		0.366	0.105353
		0.367	0.105437
		0.368	0.105523
		0.369	0.105608
		0.37	0.105692
		0.371	0.105776
		0.372	0.10586
		0.373	0.105944
		0.374	0.106027
		0.375	0.106111
		0.376	0.106194
		0.377	0.106276
		0.378	0.106359
		0.379	0.106441
		0.38	0.106521
		0.381	0.106603
		0.382	0.106685
		0.383	0.106765
		0.384	0.106846
		0.385	0.106926
		0.386	0.107006
		0.387	0.107086
		0.388	0.107165
		0.389	0.107244
		0.39	0.107323
		0.391	0.107401
		0.392	0.10748
		0.393	0.107558
		0.394	0.107636
		0.395	0.107714
		0.396	0.107791
		0.397	0.107868
