# BEAST v1.10.4
# Generated Wed Jun 16 16:24:26 EDT 2021 [seed=543545]
# -seed 543545 -threads 10 -beagle_SSE -beagle_double beast_strict_clock.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
58540000	-5948924.655963841	-503.2192167316289	-5948421.4367471095	8872.88900300702	8619.38900300702	70202.70946299846	10625.699201148722	0.7540999625039098	1.8707722875397903	0.33556707881770653	0.23987093914904611	1.7629422000354198	1.0367475319541017	0.2623953037075177	0.2365116499181771	0.23907545929260499	0.2620175870817056	1.2718257177364673E-9	1.2718257177364683E-9	-5948421.4367471095	0.0	-505.0254033918016
58550000	-5948896.504679501	-470.9141302439656	-5948425.590549257	5654.301449677194	5400.801449677194	41727.04042601474	7807.030279387774	0.8656910185513117	1.7266824733531507	0.43484136248389865	0.20330234201101924	1.690067462549238	1.0794153410513558	0.2624327981703953	0.23651079526598	0.23877824728133465	0.26227815928229536	2.2459083228580233E-9	2.2459083228580233E-9	-5948425.590549257	0.0	-472.48411628240143
58560000	-5948872.162760411	-449.5194071635038	-5948422.643353248	3977.3082647513334	3723.8082647513334	28036.04580572375	4522.485072552292	0.6854781980517617	1.8870788342088678	0.4404250377526234	0.27351662383372505	1.7917525871604103	0.9217487189925859	0.262776889847056	0.23643408426016532	0.23873935561139972	0.26204967028138426	3.4062442625025195E-9	3.406244262502518E-9	-5948422.643353248	0.0	-451.2282751298933
58570000	-5948859.107782779	-441.615063827328	-5948417.492718952	3219.077139032489	2965.577139032489	23782.508424420037	4306.856684216418	0.5350741545811188	1.8502571564297534	0.3674470157878061	0.2695510766661064	1.8953668323591415	1.082303764176048	0.2626058739389011	0.2366109003520916	0.23907070030468394	0.2617125254043286	4.078256591975246E-9	4.078256591975249E-9	-5948417.492718952	0.0	-443.20048362815055
58580000	-5948883.429284991	-457.5560742024163	-5948425.873210789	4918.263659618737	4664.763659618737	32607.58701726818	4835.997388442168	0.7490330566258586	1.7717144165170413	0.37833849038627876	0.3664907137185125	1.7263808900812228	1.0080424326710606	0.26298164528152823	0.23604323767746274	0.239133038189701	0.2618420788513133	2.9569595614523846E-9	2.956959561452385E-9	-5948425.873210789	0.0	-459.34416683656224
58590000	-5948904.443456276	-474.7648475048163	-5948429.678608771	7045.958800201708	6792.458800201708	46172.62622413331	9132.084343026281	0.7488230744309213	1.6992779335382862	0.4001666681827526	0.5501218185765961	1.6024128302127065	0.9991976750587118	0.26294168940384305	0.23613542204731633	0.23902503214897403	0.2618978563998718	2.2746682374254462E-9	2.2746682374254454E-9	-5948429.678608771	0.0	-476.2223096978934
58600000	-5948913.021390693	-486.7775490580019	-5948426.243841635	6297.4853710751095	6043.9853710751095	51985.40764243265	10057.873121520572	0.8781670211493239	1.679002447928173	0.38609972655643265	0.4200490466106884	1.6773413468669602	0.9593404108883964	0.26279445171738824	0.23616853136941712	0.23903897842311553	0.2619980384900844	1.889976809277709E-9	1.8899768092777086E-9	-5948426.243841635	0.0	-488.2903790657522
58610000	-5948893.581143029	-475.2531524459319	-5948418.327990583	6297.104409010717	6043.604409010717	44895.34039377053	8431.30364288709	0.7127154052100851	1.7280195609204083	0.42613402968744	0.3886127249897265	1.7684257530696361	0.9760925261226789	0.26275119450377377	0.23638083817742273	0.2389499893715354	0.2619179779472734	2.2703757888796896E-9	2.270375788879691E-9	-5948418.327990583	0.0	-476.7773781703592
58620000	-5948897.202665188	-473.5496362850349	-5948423.6530289035	6600.660311093705	6347.160311093705	44228.75727089282	7290.631543528065	0.7218057976002036	1.5897916634144083	0.4166178387825767	0.49671153192000933	1.833944792228395	0.9411283760543822	0.2627565971258251	0.2363724049076276	0.23920558720466678	0.26166541076188576	2.2952388265898466E-9	2.295238826589848E-9	-5948423.6530289035	0.0	-475.20629847486043
58630000	-5948889.623320597	-474.3489336457021	-5948415.274386952	5343.982924191892	5090.482924191892	40990.40499376584	8160.858632576928	0.70085447235169	1.6977075630466658	0.45557520997943635	0.295303294825735	1.7940744735281344	1.056484986268313	0.26231086119559927	0.23655009364330762	0.2392288199219023	0.26191022523919605	2.3702483678225005E-9	2.3702483678225005E-9	-5948415.274386952	0.0	-475.83874346739447
58640000	-5948915.439241645	-491.3047813121039	-5948424.134460333	6676.818252812958	6423.318252812958	57118.51122983755	11308.213793120764	0.6846667564778357	1.9374143885837878	0.3697478768314156	0.20099174713216275	1.7371139705279497	1.0700652604468228	0.26245680232344337	0.23645356190135763	0.23886770012597916	0.26222193564922525	1.7050905270808453E-9	1.7050905270808447E-9	-5948424.134460333	0.0	-492.7989943314284
58650000	-5948889.609192058	-470.3161544873816	-5948419.293037571	5212.3899252889005	4958.8899252889005	39786.81257889518	8378.563111562413	0.6484988661785656	1.5795792819044423	0.5634434795199409	0.321678876734944	1.9727577024750982	0.9140417931869834	0.2625118528947006	0.23644599614702058	0.2389669913492757	0.2620751596090085	2.475229694845214E-9	2.475229694845215E-9	-5948419.293037571	0.0	-471.7430654640765
